alert tcp $HOME_NET any -> any 3689: 		/server-
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		></ifram
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		></ifram
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		onreadys
alert tcp $HOME_NET any -> $SMTP_SERVERS 25: 		onreadys
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		image x=
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		CollectG
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		CollectG
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		#default
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		#default
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		<title o
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		.saveHis
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		.saveHis
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		<body on
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		<body on
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		onbefore
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		onbefore
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		document
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		onbefore
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		onbefore
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		document
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		onbefore
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		onbefore
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		onbefore
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		onbefore
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		onbefore
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		onbefore
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		onbefore
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		onbefore
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		onbefore
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		onbefore
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		onbefore
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		onbefore
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		offsetPa
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		offsetPa
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		Base64.d
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		history.
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		<q class
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		<q class
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		onload=|27|
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		onload=|27|
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		.anchorN
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		.anchorN
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		.runtime
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		.runtime
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		location
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		<?IMPORT
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		offsetPa
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		<input t
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		<input t
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		onproper
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		obj,obj,
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		document
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		document
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		document
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		document
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		document
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		document
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		document
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		document
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		document
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		document
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		document
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		document
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		div1.rem
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		document
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		ClientRe
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		onscroll
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		onscroll
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		onscroll
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		onscroll
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		onscroll
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		onscroll
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		jquery
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		jquery
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		ele1.add
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		onload='
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		onload='
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		.removeA
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		.removeA
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		.setCapt
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		addEvent
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		addEvent
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		onbefore
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		onbefore
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		appendCh
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		.onprope
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		getEleme
alert tcp any any -> $SMTP_SERVERS 25: 		getEleme
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		.insertA
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		document
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		document
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		meta htt
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		onbefore
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		onbefore
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		myObj[0]
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		myObj[0]
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		myObj[0]
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		myObj[0]
alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any: 		.removeC
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		.getElem
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		.getElem
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		applyEle
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		applyEle
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		style.un
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		document
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		surround
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		text-ove
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		document
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		document
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		document
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		body.con
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		body.con
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		|8C E2 80 8C E2 80 8C E2|
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		|8C E2 80 8C E2 80 8C E2|
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		.removeR
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		execComm
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25: 		execComm
alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any: 		getEleme
alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS any: 		getEleme
